model,n_input,n_output,cpu_usage,gpu_usage,execution_time,system
Qwen/Qwen2.5-0.5B-Instruct,58,379,25.2,21,17.299611568450928,T4x2
Qwen/Qwen2.5-0.5B-Instruct,108,421,25.4,22,19.166887760162357,T4x2
Qwen/Qwen2.5-0.5B-Instruct,82,26,23.8,21,2.5871150493621826,T4x2
Qwen/Qwen2.5-0.5B-Instruct,95,301,27.9,22,14.198897123336792,T4x2
Qwen/Qwen2.5-0.5B-Instruct,109,355,25.2,20,16.272952795028687,T4x2
Qwen/Qwen2.5-0.5B-Instruct,101,14,23.3,21,2.0706799030303955,T4x2
Qwen/Qwen2.5-0.5B-Instruct,143,558,26.8,22,24.935322284698486,T4x2
Qwen/Qwen2.5-0.5B-Instruct,123,392,27.2,24,18.0243821144104,T4x2
Qwen/Qwen2.5-0.5B-Instruct,92,465,26.8,19,21.1201229095459,T4x2
Qwen/Qwen2.5-0.5B-Instruct,96,308,27.5,22,14.442614555358888,T4x2
Qwen/Qwen2.5-0.5B-Instruct,72,461,27.3,23,20.82159423828125,T4x2
Qwen/Qwen2.5-0.5B-Instruct,116,154,24.8,22,7.857592821121216,T4x2
Qwen/Qwen2.5-0.5B-Instruct,87,146,25.3,23,7.606051206588745,T4x2
Qwen/Qwen2.5-0.5B-Instruct,91,394,27.2,23,18.112807512283325,T4x2
Qwen/Qwen2.5-0.5B-Instruct,117,10,23.5,20,1.8665647506713867,T4x2
Qwen/Qwen2.5-0.5B-Instruct,126,36,24.4,22,3.124173879623413,T4x2
Qwen/Qwen2.5-0.5B-Instruct,91,351,25.2,22,16.319522619247437,T4x2
Qwen/Qwen2.5-0.5B-Instruct,145,915,26.3,25,40.18262243270874,T4x2
Qwen/Qwen2.5-0.5B-Instruct,90,10,25.4,18,1.9241268634796145,T4x2
Qwen/Qwen2.5-0.5B-Instruct,98,668,26.6,24,29.57358765602112,T4x2
Qwen/Qwen2.5-0.5B-Instruct,68,4,22.6,36,1.6978671550750732,T4x2
Qwen/Qwen2.5-0.5B-Instruct,109,423,27.1,21,19.49798822402954,T4x2
Qwen/Qwen2.5-0.5B-Instruct,50,145,25.3,20,7.552856683731079,T4x2
Qwen/Qwen2.5-0.5B-Instruct,85,829,26.4,25,36.32258105278015,T4x2
Qwen/Qwen2.5-0.5B-Instruct,213,36,24.0,21,3.0033531188964844,T4x2
Qwen/Qwen2.5-0.5B-Instruct,94,372,25.4,22,17.088907718658447,T4x2
Qwen/Qwen2.5-0.5B-Instruct,91,482,25.4,22,21.612877368927,T4x2
Qwen/Qwen2.5-0.5B-Instruct,94,3,22.7,34,1.5890095233917236,T4x2
Qwen/Qwen2.5-0.5B-Instruct,114,550,26.8,22,24.649937391281128,T4x2
Qwen/Qwen2.5-0.5B-Instruct,83,472,27.1,23,21.436357498168945,T4x2
Qwen/Qwen2.5-0.5B-Instruct,116,88,31.4,22,5.197368621826172,T4x2
Qwen/Qwen2.5-0.5B-Instruct,121,16,23.4,22,2.1180808544158936,T4x2
Qwen/Qwen2.5-0.5B-Instruct,94,447,27.1,23,20.36716771125793,T4x2
Qwen/Qwen2.5-1.5B-Instruct,82,621,26.6,33,33.22233963012695,
Qwen/Qwen2.5-1.5B-Instruct,85,372,27.1,34,20.770317792892456,
Qwen/Qwen2.5-1.5B-Instruct,191,108,24.9,31,7.743538618087768,
Qwen/Qwen2.5-1.5B-Instruct,78,553,26.7,33,29.687751531600952,
Qwen/Qwen2.5-1.5B-Instruct,102,37,27.5,25,4.142974138259888,
Qwen/Qwen2.5-1.5B-Instruct,89,592,26.6,33,31.68543219566345,
Qwen/Qwen2.5-1.5B-Instruct,104,380,27.0,32,21.13714408874512,
